id,name,relationship,relative,relativename
Q112651,Polad Bülbüloğlu,father,Q1131312,Bulbul
Q112651,Polad Bülbüloğlu,mother,Q12835443,Adelaida Memmedova
Q12839554,Flora Qasımova,relative,Q16370201,Mirzə Məhəmməd Axundzadə
Q12839554,Flora Qasımova,spouse,Q4295621,"Мирзоев, Ширин Вели оглы"
Q12839846,Govhar Bakhshaliyeva,father,Q18236290,Bakhshali Bakhshaliyev
Q12839846,Govhar Bakhshaliyeva,spouse,Q11733924,Kamal Abdullayev
Q12840326,Hicran Hüseynova,father,Q16369243,Kamran Hüseynov
Q157451,Heydar Aliyev,child,Q16374092,Sevil Aliyeva
Q157451,Heydar Aliyev,child,Q57371,Ilham Aliyev
Q157451,Heydar Aliyev,father,Q55201697,Alirza Aliyev
Q157451,Heydar Aliyev,spouse,Q4062333,Zarifa Aliyeva
Q16364940,Aytən Mustafayeva,spouse,Q6580556,Rovshan Mustafayev
Q16366053,Cavid Qurbanov,father,Q12844766,Qanbar Shamshiroglu
Q16367961,Fəttah Heydərov,child,Q4134808,Kamaladdin Heydarov
Q16374557,Safar Mehdiyev,father,Q21107177,Мехтиев Мамед Асад оглы
Q19713709,Javanshir Feyziyev,child,Q110768791,Orkhan Feyziyev
Q19713709,Javanshir Feyziyev,relative,Q110768811,Elman Javanshir
Q19713709,Javanshir Feyziyev,spouse,Q110768780,Parvana Feyziyeva
Q19715508,Rovshan Rzayev,father,Q12849665,Şükür Rzayev
Q2047294,Aydin Mirzazade,father,Q16375284,Təmkin
Q20560414,Mahir Abbaszadə,sibling,Q12848234,Zahir Abbas
Q24176171,Elmira Akhundova,spouse,Q12844912,Ramiz Axundov
Q28527862,Kamran Nəbizadə,father,Q23685210,Telman Nəbiyev
Q4062335,Araz Əlizadə,father,Q23684585,Məmməd Mübariz Əlizadə
Q4130889,Isa Habibbayli,child,Q20565379,Ərəstü Həbibbəyli
Q4134808,Kamaladdin Heydarov,child,Q12846361,Tale Heydarov
Q4134808,Kamaladdin Heydarov,father,Q16367961,Fəttah Heydərov
Q4167611,Ziyad Aliabbas oglu Samadzade,child,Q16364871,Aygun Samedzade
Q4670613,Abulfaz Garayev,father,Q12842459,Mursal Garayev
Q5018584,Sabir Rustamkhanli,spouse,Q16375290,Tənzilə Rüstəmxanlı
Q57371,Ilham Aliyev,child,Q106103307,Hejdar Aliyev
Q57371,Ilham Aliyev,child,Q23683242,Arzu Aliyeva
Q57371,Ilham Aliyev,child,Q298532,Leyla Aliyeva
Q57371,Ilham Aliyev,father,Q157451,Heydar Aliyev
Q57371,Ilham Aliyev,mother,Q4062333,Zarifa Aliyeva
Q57371,Ilham Aliyev,sibling,Q16374092,Sevil Aliyeva
Q57371,Ilham Aliyev,spouse,Q671930,Mehriban Aliyeva
Q57618,Artur Rasizade,father,Q12846346,Tahir Rasizadə
Q58083,Elmar Mammadyarov,father,Q4279892,Maharram Mammadyarov
Q64739163,Ali Naghiyev,child,Q89188278,Ilham Nagiyev
Q64739163,Ali Naghiyev,sibling,Q61122496,Mahirə Nağıqızı
Q671930,Mehriban Aliyeva,child,Q23683242,Arzu Aliyeva
Q671930,Mehriban Aliyeva,child,Q298532,Leyla Aliyeva
Q671930,Mehriban Aliyeva,father,Q4347519,Arif Pashayev
Q671930,Mehriban Aliyeva,mother,Q4200118,Aida Imanguliyeva
Q671930,Mehriban Aliyeva,spouse,Q57371,Ilham Aliyev
Q84818043,Elnur M. Allahverdiyev,father,Q110104112,Marat Allahverdiyev
Q93356661,Nizami Səfərov,sibling,Q16371792,Niyazi Səfərov
Q96002133,Faraj Guliyev,child,Q100165763,Mətin Quliyev
